            table_name            |            column_name            |          data_type          | is_nullable 
----------------------------------+-----------------------------------+-----------------------------+-------------
 SequelizeMeta                    | name                              | character varying           | NO
 activity_logs                    | id                                | integer                     | NO
 activity_logs                    | user_id                           | character varying           | YES
 activity_logs                    | action                            | character varying           | YES
 activity_logs                    | resource_type                     | character varying           | YES
 activity_logs                    | resource_id                       | integer                     | YES
 activity_logs                    | changes                           | jsonb                       | YES
 activity_logs                    | created_at                        | timestamp without time zone | YES
 ai_usage_logs                    | id                                | integer                     | NO
 ai_usage_logs                    | route_name                        | character varying           | YES
 ai_usage_logs                    | model_name                        | character varying           | NO
 ai_usage_logs                    | input_tokens                      | integer                     | YES
 ai_usage_logs                    | output_tokens                     | integer                     | YES
 ai_usage_logs                    | cache_creation_input_tokens       | integer                     | YES
 ai_usage_logs                    | cache_read_input_tokens           | integer                     | YES
 ai_usage_logs                    | cost_usd                          | numeric                     | YES
 ai_usage_logs                    | duration_ms                       | integer                     | YES
 ai_usage_logs                    | is_error                          | boolean                     | YES
 ai_usage_logs                    | error_type                        | character varying           | YES
 ai_usage_logs                    | created_at                        | timestamp with time zone    | YES
 amber_findings                   | id                                | uuid                        | NO
 amber_findings                   | type                              | USER-DEFINED                | NO
 amber_findings                   | severity                          | USER-DEFINED                | NO
 amber_findings                   | title                             | character varying           | NO
 amber_findings                   | description                       | text                        | NO
 amber_findings                   | evidence                          | text                        | YES
 amber_findings                   | affected_file                     | character varying           | YES
 amber_findings                   | affected_route                    | character varying           | YES
 amber_findings                   | affected_table                    | character varying           | YES
 amber_findings                   | affected_page                     | character varying           | YES
 amber_findings                   | proposed_fix                      | text                        | YES
 amber_findings                   | proposed_diff                     | text                        | YES
 amber_findings                   | fix_confidence                    | integer                     | YES
 amber_findings                   | fix_category                      | USER-DEFINED                | YES
 amber_findings                   | auto_approve_eligible             | boolean                     | NO
 amber_findings                   | auto_approve_category             | character varying           | YES
 amber_findings                   | status                            | USER-DEFINED                | NO
 amber_findings                   | execution_log                     | text                        | YES
 amber_findings                   | execution_result                  | jsonb                       | YES
 amber_findings                   | applied_at                        | timestamp with time zone    | YES
 amber_findings                   | applied_diff                      | text                        | YES
 amber_findings                   | amber_verdict                     | text                        | YES
 amber_findings                   | surfaced_in_chat                  | boolean                     | YES
 amber_findings                   | urgent                            | boolean                     | YES
 amber_findings                   | detected_by                       | character varying           | YES
 amber_findings                   | scan_run_id                       | uuid                        | YES
 amber_findings                   | created_at                        | timestamp with time zone    | NO
 amber_findings                   | updated_at                        | timestamp with time zone    | NO
 amber_scan_runs                  | id                                | uuid                        | NO
 amber_scan_runs                  | trigger                           | character varying           | NO
 amber_scan_runs                  | status                            | USER-DEFINED                | YES
 amber_scan_runs                  | findings_count                    | integer                     | YES
 amber_scan_runs                  | critical_count                    | integer                     | YES
 amber_scan_runs                  | checks_run                        | jsonb                       | YES
 amber_scan_runs                  | duration_ms                       | integer                     | YES
 amber_scan_runs                  | error                             | text                        | YES
 amber_scan_runs                  | created_at                        | timestamp with time zone    | NO
 amber_scan_runs                  | updated_at                        | timestamp with time zone    | NO
 amber_task_queue                 | id                                | uuid                        | NO
 amber_task_queue                 | title                             | character varying           | NO
 amber_task_queue                 | description                       | text                        | YES
 amber_task_queue                 | type                              | USER-DEFINED                | YES
 amber_task_queue                 | priority                          | USER-DEFINED                | YES
 amber_task_queue                 | status                            | USER-DEFINED                | YES
 amber_task_queue                 | source                            | character varying           | YES
 amber_task_queue                 | linked_finding_id                 | uuid                        | YES
 amber_task_queue                 | spec                              | text                        | YES
 amber_task_queue                 | spec_approved                     | boolean                     | YES
 amber_task_queue                 | amber_notes                       | text                        | YES
 amber_task_queue                 | created_at                        | timestamp with time zone    | NO
 amber_task_queue                 | updated_at                        | timestamp with time zone    | NO
 asset_label_map                  | id                                | uuid                        | NO
 asset_label_map                  | asset_id                          | uuid                        | NO
 asset_label_map                  | label_id                          | uuid                        | NO
 asset_label_map                  | created_at                        | timestamp with time zone    | YES
 asset_labels                     | id                                | uuid                        | NO
 asset_labels                     | name                              | character varying           | NO
 asset_labels                     | color                             | character varying           | NO
 asset_labels                     | description                       | text                        | YES
 asset_labels                     | created_at                        | timestamp with time zone    | YES
 asset_labels                     | updated_at                        | timestamp with time zone    | YES
 asset_roles                      | id                                | uuid                        | NO
 asset_roles                      | show_id                           | uuid                        | YES
 asset_roles                      | role_key                          | character varying           | NO
 asset_roles                      | role_label                        | character varying           | NO
 asset_roles                      | category                          | character varying           | YES
 asset_roles                      | icon                              | character varying           | YES
 asset_roles                      | color                             | character varying           | YES
 asset_roles                      | is_required                       | boolean                     | YES
 asset_roles                      | sort_order                        | integer                     | YES
 asset_roles                      | description                       | text                        | YES
 asset_roles                      | created_at                        | timestamp without time zone | YES
 asset_roles                      | updated_at                        | timestamp without time zone | YES
 asset_usage_log                  | id                                | uuid                        | NO
 asset_usage_log                  | asset_id                          | uuid                        | NO
 asset_usage_log                  | episode_id                        | uuid                        | YES
 asset_usage_log                  | scene_id                          | uuid                        | YES
 asset_usage_log                  | context                           | character varying           | YES
 asset_usage_log                  | used_at                           | timestamp with time zone    | NO
 assets                           | id                                | uuid                        | NO
 assets                           | asset_type                        | character varying           | NO
 assets                           | s3_key_raw                        | character varying           | YES
 assets                           | s3_key_processed                  | character varying           | YES
 assets                           | has_transparency                  | boolean                     | YES
 assets                           | width                             | integer                     | YES
 assets                           | height                            | integer                     | YES
 assets                           | file_size_bytes                   | integer                     | YES
 assets                           | content_type                      | character varying           | YES
 assets                           | uploaded_by                       | character varying           | YES
 assets                           | approval_status                   | character varying           | YES
 assets                           | metadata                          | jsonb                       | YES
 assets                           | created_at                        | timestamp with time zone    | YES
 assets                           | updated_at                        | timestamp with time zone    | YES
 assets                           | file_name                         | character varying           | YES
 assets                           | name                              | character varying           | YES
 assets                           | asset_group                       | character varying           | YES
 assets                           | purpose                           | text                        | YES
 assets                           | allowed_uses                      | text                        | YES
 assets                           | is_global                         | boolean                     | YES
 assets                           | s3_url_raw                        | text                        | YES
 assets                           | s3_url_processed                  | text                        | YES
 assets                           | media_type                        | character varying           | YES
 assets                           | deleted_at                        | timestamp without time zone | YES
 assets                           | asset_role                        | character varying           | YES
 assets                           | show_id                           | uuid                        | YES
 assets                           | asset_scope                       | character varying           | YES
 assets                           | episode_id                        | uuid                        | YES
 assets                           | processing_status                 | character varying           | YES
 assets                           | processing_metadata               | jsonb                       | YES
 assets                           | s3_url_no_bg                      | text                        | YES
 assets                           | s3_url_enhanced                   | text                        | YES
 assets                           | entity_type                       | character varying           | YES
 assets                           | category                          | character varying           | YES
 assets                           | character_name                    | character varying           | YES
 assets                           | outfit_name                       | character varying           | YES
 assets                           | outfit_era                        | character varying           | YES
 assets                           | transformation_stage              | character varying           | YES
 assets                           | first_used_episode_id             | uuid                        | YES
 assets                           | usage_count                       | integer                     | YES
 assets                           | color_palette                     | jsonb                       | YES
 assets                           | mood_tags                         | ARRAY                       | YES
 assets                           | location_name                     | character varying           | YES
 assets                           | location_version                  | integer                     | YES
 assets                           | introduced_episode_id             | uuid                        | YES
 assets                           | active_from_episode               | integer                     | YES
 assets                           | active_to_episode                 | integer                     | YES
 assets                           | file_hash                         | character varying           | YES
